numero_questao,enunciado,alternativas,nu_param_B,gabarito
101,"O  radar é um dispositivo usado pelos agentes de 
trânsito nas cidades ou rodovias, com a intenção de 
limitar a velocidade  e assim reduzir acidentes de trânsito. 
Alguns dispositivos funcionam emitindo ondas sonoras ou 
eletromagnéticas, que incidem no veículo em movimento 
e retornam para o dispositivo. De acordo com a alteração 
da frequência do sinal recebido, pode-se determinar a 
velocidade do veículo.
Qual fenômeno físico está associado ao funcionamento  
desse tipo de radar?",A: Difração.; B: Refração.; C: Ressonância.; D: Efeito Doppler.; E: Efeito fotoelétrico.,1.74661,D
102,"A prova do carbono 14
A técnica do carbono-14 permite a datação de fósseis pela medição dos valores de emissão beta desse isótopo 
presente no fóssil. Para um ser em vida, o máximo são 15 emissões beta por, abre parêntese, minuto multiplicado por 
grama, fecha parêntese. Após a morte, a quantidade de carbono quatorze se reduz pela metade a cada 5 730 anos.
Considere que um fragmento fóssil de massa igual a 30 gramas foi encontrado em um sítio arqueológico, e a medição 
de radiação apresentou 6 750 emissões beta por hora. A idade desse fóssil, em anos, é",A: quatrocentos e cinquenta; B: mil quatrocentos e trinta e três; C: onze mil quatrocentos e sessenta; D: dezessete mil cento e noventa; E: vinte e sete mil,1.8785,C
103,"A figura mostra o funcionamento de uma estação híbrida de geração de eletricidade movida a energia eólica e 
biogás. Essa estação possibilita que a energia gerada no parque eólico seja armazenada na forma de gás hidrogênio, 
usado no fornecimento de energia para a rede elétrica comum e para abastecer células a combustível.
Descrição da imagem: 
•	 Turbinas eólicas podem gerar eletricidade para a rede de distribuição elétrica ou para a produção de hidrogênio. 
•	 Nesse processo, o hidrogênio é armazenado e pode ser utilizado como combustível, ou ser misturado ao 
biogás armazenado (através de uma válvula para mistura). 
•	 Essa mistura vai para uma planta mista de geração de energia e pode gerar eletricidade para a rede de 
distribuição elétrica, ou calor para o destino da energia térmica.
 
Mesmo com ausência de ventos por curtos períodos, essa estação continua abastecendo a cidade onde está 
instalada, pois o(a)","A: planta mista de geração de energia realiza eletrólise para enviar energia à rede de distribuição elétrica.; B: hidrogênio produzido e armazenado é utilizado na combustão com o biogás para gerar calor e eletricidade.; C: conjunto de turbinas continua girando com a mesma velocidade, por inércia, mantendo a eficiência anterior.; D: combustão da mistura biogás-hidrogênio gera diretamente energia elétrica adicional para a manutenção da estação.; E: planta mista de geração de energia é capaz de utilizar todo o calor fornecido na combustão para a geração de eletricidade.",1.01157,B
104,"Indústrias de processos químicos
A eletrólise é um processo não espontâneo de grande importância para a indústria química. Uma de suas 
aplicações é a obtenção do gás cloro e do hidróxido de sódio, a partir de uma solução aquosa de cloreto de sódio. 
Nesse procedimento, utiliza-se uma célula eletroquímica, como ilustrado.
Descrição da figura:
•	 A  figura apresenta uma célula eletroquímica formada por duas semicélulas separadas por um diafragma de 
amianto.
•	 A semicélula da esquerda contém um ânodo de carbono (polo positivo da célula eletroquímica) que está ligado 
ao polo positivo de uma bateria.
•	 Essa semicélula é alimentada por uma solução aquosa de NaCl, e ocorre liberação de Cl2 gasoso através de 
um orifício em sua parte superior.
•	 A semicélula da direita contém um cátodo de carbono (polo negativo da célula eletroquímica) que está ligado 
ao polo negativo da bateria.
•	 Essa semicélula apresenta, na parte inferior à direita, um dreno para a solução aquosa alcalina e, na parte 
superior, um orifício que mostra a liberação de um produto secundário.
•	 O fluxo de elétrons ocorre do ânodo para o cátodo, passando através da bateria e fechando o circuito elétrico.
No processo eletrolítico ilustrado, o produto secundário obtido é o",A: vapor de água.; B: oxigênio molecular.; C: hipoclorito de sódio.; D: hidrogênio molecular.; E: cloreto de hidrogênio.,1.66775,D
105,"Agricultura natural/orgânica como instrumento de fixação biológica e manutenção do nitrogênio no solo: 
um modelo sustentável de MDL
Uma grande virada na moderna história da agricultura ocorreu depois da Segunda Guerra Mundial. Após a guerra, 
os governos haviam se deparado com um enorme excedente de nitrato de amônio, ingrediente usado na fabricação 
de explosivos. A partir daí as fábricas de munição foram adaptadas para começar a produzir fertilizantes tendo como 
componente principal os nitratos.
No ciclo natural do nitrogênio, o equivalente ao principal componente desses fertilizantes industriais é produzido na 
etapa de",A: nitratação.; B: nitrosação.; C: amonificação.; D: desnitrificação.; E: fixação biológica do N2.,1.61043,A
106,"A toxicidade de algumas substâncias é normalmente 
representada por um índice conhecido como DL50 (dose 
letal mediana). Ele representa a dosagem aplicada 
a uma população de seres vivos que mata 50 por cento 
desses indivíduos e é normalmente medido 
utilizando-se ratos como cobaias. Esse índice é muito 
importante para os seres humanos, pois ao se extrapolar os 
dados obtidos com o uso de cobaias, pode-se determinar 
o nível tolerável de contaminação de alimentos, para que 
possam ser consumidos de forma segura pelas pessoas. 
O quadro apresenta três pesticidas e suas toxicidades. 
A unidade miligrama por quilograma indica a massa da 
substância ingerida pela massa da cobaia.
Descrição do quadro:
O quadro apresenta duas colunas: na primeira coluna, 
os nomes dos pesticidas e, na segunda coluna, seus 
respectivos valores de dose letal, DL50, em miligrama 
por quilograma.
•	 Diazinon: 70.
•	 Malation: 1 000.
•	 Atrazina: 3 100.
Sessenta ratos, com massa de 200 gramas 
cada, foram divididos em três grupos de vinte.  
Três amostras de ração, contaminadas, cada uma 
delas com um dos pesticidas indicados no quadro, 
na concentração de 3 miligramas por grama de 
ração, foram administradas para cada grupo de 
cobaias. Cada rato consumiu 100 gramas de ração.
Qual(ais) grupo(s) terá(ão) uma mortalidade mínima de 
10 ratos?","A: O grupo que se contaminou somente com atrazina.; B: O grupo que se contaminou somente com diazinon.; C: Os grupos que se contaminaram com atrazina e 
malation.; D: Os grupos que se contaminaram com diazinon e 
malation.; E: Nenhum dos grupos contaminados com atrazina, 
diazinon e malation.",1.606,D
107,"Os medicamentos são rotineiramente utilizados pelo 
ser humano com o intuito de diminuir ou, por muitas vezes, 
curar possíveis transtornos de saúde. Os antibióticos são 
grupos de fármacos inseridos no tratamento de doenças 
causadas por bactérias.
Na terapêutica das doenças mencionadas, alguns desses 
fármacos atuam",A: ativando o sistema imunológico do hospedeiro.; B: interferindo na cascata bioquímica da inflamação.; C: removendo as toxinas sintetizadas pelas bactérias.; D: combatendo as células hospedeiras das bactérias.; E: danificando estruturas específicas da célula bacteriana.,1.11215,E
108,".
Dispositivos eletrônicos que utilizam materiais de 
baixo custo, como polímeros semicondutores, têm sido 
desenvolvidos para monitorar a concentração de amônia 
(gás tóxico e incolor) em granjas avícolas. A polianilina 
é um polímero semicondutor que tem o valor de sua 
resistência elétrica nominal quadruplicado quando exposta 
a altas concentrações de amônia. Na ausência de amônia, 
a polianilina se comporta como um resistor ôhmico e a sua 
resposta elétrica é mostrada no gráfico.
Descrição do gráfico:
Gráfico da corrente elétrica (eixo vertical, em 
10 elevado a menos seis ampères) em função da 
diferença de potencial (eixo horizontal, em volt).  
O gráfico é constituído por uma linha reta inclinada 
crescente, partindo da origem dos eixos, com os 
seguintes pontos:
•	 Diferença de potencial 0,5 e corrente 1,0.
•	 Diferença de potencial 1,0 e corrente 2,0.
•	 Diferença de potencial 1,5 e corrente 3,0.
•	 Diferença de potencial 2,0 e corrente 4,0.
•	 Diferença de potencial 2,5 e corrente 5,0.
•	 Diferença de potencial 3,0 e corrente 6,0.
O valor da resistência elétrica da polianilina na presença 
de altas concentrações de amônia, em ohm, é igual a","A: zero vírgula cinco vezes, abre parêntese, dez elevado a zero, fecha parêntese.; B: dois vírgula zero vezes, abre parêntese, dez elevado a zero, fecha parêntese.; C: dois vírgula cinco vezes, abre parêntese, dez elevado a cinco, fecha parêntese.; D: cinco vírgula zero vezes, abre parêntese, dez elevado a cinco, fecha parêntese.; E: dois vírgula zero vezes, abre parêntese, dez elevado a seis, fecha parêntese.",1.65616,E
109,"Nanotubos de carbono incrementam a 
 fotossíntese de plantas
Pesquisadores conseguiram estimular a absorção de 
energia luminosa em plantas graças ao uso de nanotubos 
de carbono. Para isso, nanotubos de carbono “se 
inseriram” no interior dos cloroplastos por uma montagem 
espontânea, através das membranas dos cloroplastos. 
Pigmentos da planta absorvem as radiações luminosas, 
os elétrons são “excitados” e se deslocam no interior de 
membranas dos cloroplastos, e a planta utiliza em seguida 
essa energia elétrica para a fabricação de açúcares. 
Os nanotubos de carbono podem absorver comprimentos 
de onda habitualmente não utilizados pelos cloroplastos, 
e os pesquisadores tiveram a ideia de utilizá-los como 
“antenas”, estimulando a conversão de energia solar pelos 
cloroplastos, com o aumento do transporte de elétrons.
O aumento da eficiência fotossintética ocorreu pelo fato 
de os nanotubos de carbono promoverem diretamente a",A: utilização de água.; B: absorção de fótons.; C: formação de gás oxigênio.; D: proliferação dos cloroplastos.; E: captação de dióxido de carbono.,0.81902,B
110,"Impacto ambiental das barragens hidrelétricas
O fenômeno da piracema (subida do rio) é um 
importante mecanismo que influencia a reprodução 
de algumas espécies de peixes, pois induz o processo 
que estimula a queima de gordura e ativa mecanismos 
hormonais complexos, preparando-os para a reprodução. 
Intervenções antrópicas nos ambientes aquáticos, como 
a construção de barragens, interferem na reprodução 
desses animais.
Essa intervenção antrópica prejudica a piracema porque 
reduz o(a)",A: percurso da migração.; B: longevidade dos indivíduos.; C: disponibilidade de alimentos.; D: período de migração da espécie.; E: número de espécies de peixes no local.,0.85071,A
111,"Fusível é um dispositivo de proteção contra 
sobrecorrente em circuitos. Quando a corrente que passa 
por esse componente elétrico é maior que sua máxima 
corrente nominal, o fusível queima. Dessa forma, evita 
que a corrente elevada danifique os aparelhos do circuito. 
Suponha que o circuito elétrico mostrado seja alimentado 
por uma fonte de tensão U e que o fusível suporte uma 
corrente nominal de 500 miliampères.
Descrição da figura:
•	 Um circuito elétrico em forma de losango com 
vértices ABCD, alimentado por uma fonte de 
tensão U. 
•	 O polo positivo da tensão U parte para o ponto 
A, e o polo negativo da tensão U para o ponto C. 
•	 Entre A e B, há um resistor de 60 ohms. 
•	 Entre B e C, há outro resistor de 60 ohms ligado 
em paralelo com um resistor de 30 ohms. 
•	 Entre C e D, há um resistor de 40 ohms. 
•	 Entre D e A, há outro resistor de 60 ohms ligado 
em paralelo com um resistor de 120 ohms que 
está em série com um fusível.
 
Qual é o máximo valor da tensão U para que o fusível não 
queime?",A: vinte volts; B: quarenta volts; C: sessenta volts; D: cento e vinte volts; E: cento e oitenta e cinco volts,1.18769,D
112,"Sentinelas do mar
Os botos-cinza (Sotalia guianensis), mamíferos da 
família dos golfinhos, são excelentes indicadores da 
poluição das áreas em que vivem, pois passam toda a 
sua vida — cerca de 30 anos — na mesma região. Além 
disso, a espécie acumula mais contaminantes em seu 
organismo, como o mercúrio, do que outros animais da 
sua cadeia alimentar.
Os botos-cinza acumulam maior concentração dessas 
substâncias porque",A: são animais herbívoros.; B: são animais detritívoros.; C: são animais de grande porte.; D: digerem o alimento lentamente.; E: estão no topo da cadeia alimentar.,2.77185,E
113,"O Trombone de Quincke (de formato elíptico) é um 
dispositivo experimental utilizado para demonstrar o 
fenômeno da interferência de ondas sonoras. Uma fonte 
emite ondas sonoras de determinada frequência na 
entrada do dispositivo. Essas ondas se dividem por dois 
caminhos e se encontram no ponto de saída do dispositivo, 
onde se posiciona um detector. Um desses dois caminhos 
pode ser aumentado através do deslocamento de uma das 
partes do dispositivo, que é móvel. Quando os dois trajetos 
possuem o mesmo comprimento total, cada um com  
30 centímetros na ida e 30 centímetros na volta, capta-se um 
som muito intenso na saída. Entretanto, aumentando-se 
gradativamente o trajeto da parte móvel, até que ele fique 
com um comprimento total de 40 centímetros na ida e  
40 centímetros na volta, a intensidade do som na saída 
fica praticamente nula. Dessa forma, conhecida a 
velocidade do som no interior do tubo (320 metros por 
segundo), é possível determinar o valor da frequência do 
som produzido pela fonte.
O valor da frequência, em hertz, do som produzido pela 
fonte sonora é",A: três mil e duzentos; B: mil e seiscentos; C: oitocentos; D: seiscentos e quarenta; E: quatrocentos,1.62067,C
114,"O ácido acetilsalicílico, AAS (massa molar igual a 180 gramas por mol), é sintetizado a partir da reação do ácido 
salicílico (massa molar igual a 138 gramas por mol) com anidrido acético, usando-se ácido sulfúrico como catalisador, 
conforme o esquema reacional:
Descrição do esquema reacional:
Uma molécula de ácido salicílico (cadeia carbônica que contém um anel ligado no carbono 1 ao grupo COOH, por 
meio de ligação simples, e ligado no carbono 2 ao grupo hidroxila (OH), também por meio de ligação simples) reage 
com uma molécula de anidrido acético (cadeia carbônica com oxigênio no centro, ligado por meio de ligação simples 
a dois grupos C dupla O ligação simples com CH3) em presença de ácido sulfúrico e produz uma molécula de ácido 
acetilsalicílico (cadeia carbônica que contém um anel ligado no carbono 1 ao grupo COOH por meio de ligação 
simples, e ligado no carbono 2 ao grupo O ligação simples para C dupla O, e ligação simples para CH3 também por 
meio de ligação simples) e uma molécula de ácido acético (CH3 ligação simples com o grupo COOH).
Após a síntese, o AAS é purificado e o rendimento final é de aproximadamente 50 por cento. Devido às suas 
propriedades farmacológicas (antitérmico, analgésico, anti-inflamatório e antitrombótico), o AAS é utilizado como 
medicamento na forma de comprimidos, nos quais se emprega tipicamente uma massa de 500 miligramas dessa 
substância.
Uma indústria farmacêutica pretende fabricar um lote de 900 mil comprimidos, de acordo com as especificações do 
texto. Qual é a massa de ácido salicílico, em quilograma, que deve ser empregada para esse fim?",A: duzentos e noventa e três; B: trezentos e quarenta e cinco; C: quatrocentos e catorze; D: seiscentos e noventa; E: oitocentos e vinte e oito,2.68155,D
115,"A Mata Atlântica caracteriza-se por uma grande diversidade de epífitas, como as bromélias. Essas plantas estão 
adaptadas a esse ecossistema e conseguem captar luz, água e nutrientes mesmo vivendo sobre as árvores.
Essas espécies captam água do(a)",A: organismo das plantas vizinhas.; B: solo através de suas longas raízes.; C: chuva acumulada entre suas folhas.; D: seiva bruta das plantas hospedeiras.; E: comunidade que vive em seu interior.,2.25847,C
116,"O ferro é encontrado na natureza na forma de seus minérios, tais como a hematita (alfa-Fe2O3), a magnetita 
(Fe3O4) e a wustita (FeO). Na siderurgia, o ferro-gusa é obtido pela fusão de minérios de ferro em altos fornos em 
condições adequadas. Uma das etapas nesse processo é a formação de monóxido de carbono. O CO (gasoso) é 
utilizado para reduzir o FeO (sólido), conforme a equação química:
Descrição da equação química:
Os reagentes FeO (sólido) + CO (gasoso) formam os produtos Fe (sólido) + CO2 (gasoso).
Considere as seguintes equações termoquímicas:
Descrição das três equações termoquímicas:
Primeira equação:
•	 Os reagentes Fe2O3 (sólido) + 3 CO (gasoso) formam os produtos 2 Fe (sólido) + 3 CO2 (gasoso). 
•	 Variação de entalpia igual a −25 quilojoules por mol de Fe2O3.
Segunda equação:
•	 Os reagentes 3 FeO (sólido) + CO2 (gasoso) formam os produtos Fe3O4 (sólido) + CO (gasoso).
•	 Variação de entalpia igual a −36 quilojoules por mol de CO2.
Terceira equação:
•	 Os reagentes 2 Fe3O4 (sólido) + CO2 (gasoso) formam os produtos 3 Fe2O3 (sólido) + CO (gasoso).
•	 Variação de entalpia igual a +47 quilojoules por mol de CO2.
O valor mais próximo de variação de entalpia, em quilojoule por mol de FeO, para a reação indicada do  
FeO (sólido) com o CO (gasoso) é",A: menos catorze; B: menos dezessete; C: menos cinquenta; D: menos sessenta e quatro; E: menos cem,2.1206,B
117,"Japão pesquisa efeitos da radiação na fauna e flora de Fukushima
O Japão começou uma investigação em animais e plantas para estabelecer os efeitos da radiação procedente da 
usina nuclear de Fukushima nas regiões mais afetadas pelo acidente atômico. A análise registrará os níveis de césio 
radioativo em vários pontos da província japonesa.
Esse tipo de radiação promove reações químicas anormais nos tecidos orgânicos, pois retira elétrons das moléculas 
por um processo de",A: redução.; B: eletrólise.; C: ionização.; D: fusão nuclear.; E: fissão nuclear.,0.95439,C
118,"A distrofia muscular Duchenne (DMD) é uma doença 
causada por uma mutação em um gene localizado no 
cromossomo X. Pesquisadores estudaram uma família 
na qual gêmeas monozigóticas eram portadoras de um 
alelo mutante recessivo para esse gene (heterozigóticas). 
O interessante é que uma das gêmeas apresentava 
o fenótipo relacionado ao alelo mutante, isto é, DMD, 
enquanto a sua irmã apresentava fenótipo normal.
A diferença na manifestação da DMD entre as gêmeas 
pode ser explicada pela","A: dominância incompleta do alelo mutante em relação 
ao alelo normal.; B: falha na separação dos cromossomos X no momento 
da separação dos dois embriões.; C: recombinação cromossômica em uma divisão celular 
embrionária anterior à separação dos dois embriões.; D: inativação aleatória de um dos cromossomos X em 
fase posterior à divisão que resulta nos dois embriões.; E: origem paterna do cromossomo portador do alelo mutante 
em uma das gêmeas e origem materna na outra.",0.81755,D
119,"Para se adequar às normas ambientais atuais, as 
construtoras precisam prever em suas obras a questão 
do uso de materiais de modo a minimizar os impactos 
causados no local. Entre esses materiais está o chamado 
concregrama ou pisograma, que é um tipo de revestimento 
composto por peças de concreto com áreas vazadas, 
preenchidas com solo gramado. As figuras apresentam 
essas duas formas de piso feitos de concreto.
Descrição da imagem:
A imagem traz a representação dos pisos de concreto 
tradicional e do concregrama. O piso tradicional de 
concreto é representado por um retângulo de concreto 
maciço, já o piso concregrama é representado por um 
retângulo de concreto com quatro retângulos menores 
vazados preenchidos com solo gramado.
A utilização desse tipo de piso em uma obra tem o objetivo 
de evitar, no solo, a",A: impermeabilização.; B: diminuição da temperatura.; C: acumulação de matéria orgânica.; D: alteração do pH.; E: salinização.,2.04059,A
