numero_questao,enunciado,alternativas,gabarito,nu_param_B
56,"O manual de funcionamento de um captador de guitarra elétrica apresenta o seguinte texto: Esse captador comum consiste de uma bobina, fios condutores enrolados em torno de um ímã permanente. O campo magnético do ímã induz o ordenamento dos polos magnéticos na corda da guitarra, que está próxima a ele. Assim, quando a corda é tocada, as oscilações produzem variações, com o mesmo padrão, no fluxo magnético que atravessa a bobina. Isso induz uma corrente elétrica na bobina, que é transmitida até o amplificador e, daí, para o alto-falante. Um guitarrista trocou as cordas originais de sua guitarra, que eram feitas de aço, por outras feitas de náilon. Com o uso dessas cordas, o amplificador ligado ao instrumento não emitia mais som, porque a corda de náilon",A: isola a passagem de corrente elétrica da bobina para o alto-falante.; B: varia seu comprimento mais intensamente do que ocorre com o aço.; C: apresenta uma magnetização desprezível sob a ação do ímã permanente.; D: induz correntes elétricas na bobina mais intensas que a capacidade do captador.; E: oscila com uma frequência menor do que a que pode ser percebida pelo captador,C,0.97069
57,"O controle biológico, técnica empregada no combate a espécies que causam danos e prejuízos aos seres humanos, é utilizado no combate à lagarta que se alimenta de folhas de algodoeiro. Algumas espécies de borboleta depositam seus ovos nessa cultura. A microvespa Trichogramma sp. introduz seus ovos nos ovos de outros insetos, incluindo os das borboletas em questão. Os embriões da vespa se alimentam do conteúdo desses ovos e impedem que as larvas de borboleta se desenvolvam. Assim, é possível reduzir a densidade populacional das borboletas até níveis que não prejudiquem a cultura. A técnica de controle biológico realizado pela microvespa Trichogramma sp. consiste na","A: introdução de um parasita no ambiente da espécie que se deseja combater.; B: introdução de um gene letal nas borboletas, a fim de diminuir o número de indivíduos.; C: competição entre a borboleta e a microvespa para a obtenção de recursos.; D: modificação do ambiente para selecionar indivíduos melhor adaptados.; E: aplicação de inseticidas a fim de diminuir o número de indivíduos que se deseja combater.",A,-0.02949
58,"A pele humana, quando está bem hidratada, adquire boa elasticidade e aspecto macio e suave. Em contrapartida, quando está ressecada, perde sua elasticidade e se apresenta opaca e áspera. Para evitar o ressecamento da pele é necessário, sempre que possível, utilizar hidratantes umectantes, feitos geralmente à base de glicerina e polietilenoglicol: glicerina polietilenoglicol A análise da água de um lago que recebe a descarga de águas residuais provenientes de lavouras adubadas revelou as concentrações dos elementos carbono (21,2 mol/L), nitrogênio (1,2 mol/L) e fósforo (0,2 mol/L). Nessas condições, o nutriente limítrofe é o",A: ligações iônicas.; B: forças de London.; C: ligações covalentes.; D: forças dipolo-dipolo.; E: ligações de hidrogênio.,E,1.06139
59,"A cal (óxido de cálcio, CaO), cuja suspensão em água é muito usada como uma tinta de baixo custo, dá uma tonalidade branca aos troncos de árvores. Essa é uma prática muito comum em praças públicas e locais privados, geralmente usada para combater a proliferação de parasitas. Essa aplicação, também chamada de caiação, gera um problema: elimina microrganismos benéficos para a árvore. A destruição do microambiente, no tronco de árvores pintadas com cal, é devida ao processo de","A: difusão, pois a cal se difunde nos corpos dos seres do microambiente e os intoxica.; B: osmose, pois a cal retira água do microambiente, tornando-o inviável ao desenvolvimento de microrganismos.; C: oxidação, pois a luz solar que incide sobre o tronco ativa fotoquimicamente a cal, que elimina os seres vivos do microambiente.; D: aquecimento, pois a luz do Sol incide sobre o tronco e aquece a cal, que mata os seres vivos do microambiente.; E: vaporização, pois a cal facilita a volatilização da água para a atmosfera, eliminando os seres vivos do microambiente.",B,1.75071
60,"Em um manual de um chuveiro elétrico são encontradas informações sobre algumas características técnicas, ilustradas no quadro, como a tensão de alimentação, a potência dissipada, o dimensionamento do disjuntor ou fusível, e a área da seção transversal dos condutores utilizados. Uma pessoa adquiriu um chuveiro do modelo A e, ao ler o manual, verificou que precisava ligá-lo a um disjuntor de 50 amperes. No entanto, intrigou-se com o fato de que o disjuntor a ser utilizado para uma correta instalação de um chuveiro do modelo B devia possuir amperagem 40% menor. Considerando-se os chuveiros de modelos A e B, funcionando à mesma potência de 4 400 W, a razão entre as suas respectivas resistências elétricas, RA e RB, que justifica a diferença de dimensionamento dos disjuntores, é mais próxima de:","A: 0,3.; B: 0,6.; C: 0,8.; D: 1,7.; E: 3,0.",A,1.33878
61,"Nos dias de hoje, podemos dizer que praticamente todos os seres humanos já ouviram em algum momento falar sobre o DNA e seu papel na hereditariedade da maioria dos organismos. Porém, foi apenas em 1952, um ano antes da descrição do modelo do DNA em dupla hélice por Watson e Crick, que foi confirmado sem sombra de dúvidas que o DNA é material genético. No artigo em que Watson e Crick descreveram a molécula de DNA, eles sugeriram um modelo de como essa molécula deveria se replicar. Em 1958, Meselson e Stahl realizaram experimentos utilizando isótopos pesados de nitrogênio que foram incorporados às bases nitrogenadas para avaliar como se daria a replicação da molécula. A partir dos resultados, confirmaram o modelo sugerido por Watson e Crick, que tinha como premissa básica o rompimento das pontes de hidrogênio entre as bases nitrogenadas. Considerando a estrutura da molécula de DNA e a posição das pontes de hidrogênio na mesma, os experimentos realizados por Meselson e Stahl a respeito da replicação dessa molécula levaram à conclusão de que","A: a replicação do DNA é conservativa, isto é, a fita dupla filha é recém-sintetizada e o filamento parental é conservado.; B: a replicação de DNA é dispersiva, isto é, as fitas filhas contêm DNA recém-sintetizado e parentais em cada uma das fitas.; C: a replicação é semiconservativa, isto é, as fitas filhas consistem de uma fita parental e uma recém-sintetizada.; D: a replicação do DNA é conservativa, isto é, as fitas filhas consistem de moléculas de DNA parental.; E: a replicação é semiconservativa, isto é, as fitas filhas consistem de uma fita molde e uma fita codificadora.",C,1.40218
62,"A eutrofização é um processo em que rios, lagos e mares adquirem níveis altos de nutrientes, especialmente fosfatos e nitratos, provocando posterior acúmulo de matéria orgânica em decomposição. Os nutrientes são assimilados pelos produtores primários e o crescimento desses é controlado pelo nutriente limítrofe, que é o elemento menos disponível em relação à abundância necessária à sobrevivência dos organismos vivos. O ciclo representado na figura seguinte reflete a dinâmica dos nutrientes em um lago. A análise da água de um lago que recebe a descarga de águas residuais provenientes de lavouras adubadas revelou as concentrações dos elementos carbono (21,2 mol/L), nitrogênio (1,2 mol/L) e fósforo (0,2 mol/L). Nessas condições, o nutriente limítrofe é o",A: C ; B: N.; C: P.; D: CO2 .; E: PO4 3- .,B,1.91559
63,"Para que uma substância seja colorida ela deve absorver luz na região do visível. Quando uma amostra absorve luz visível, a cor que percebemos é a soma das cores restantes que são refletidas ou transmitidas pelo objeto. A Figura 1 mostra o espectro de absorção para uma substância e é possível observar que há um comprimento de onda em que a intensidade de absorção é máxima. Um observador pode prever a cor dessa substância pelo uso da roda de cores (Figura 2): o comprimento de onda correspondente à cor do objeto é encontrado no lado oposto ao comprimento de onda da absorção máxima. Qual a cor da substância que deu origem ao espectro da Figura 1?",A: Azul.; B: Verde.; C: Violeta.; D: Laranja.; E: Vermelho.,E,0.95099
64,"O mapa mostra a área de ocorrência da malária no mundo. Considerando-se sua distribuição na América do Sul, a malária pode ser classificada como","A: endemia, pois se concentra em uma área geográfica restrita desse continente.; B: peste, já que ocorre nas regiões mais quentes do continente.; C: epidemia, já que ocorre na maior parte do continente.; D: surto, pois apresenta ocorrência em áreas pequenas.; E: pandemia, pois ocorre em todo o continente.",A,0.74057
65,"Em 1999, a geneticista Emma Whitelaw desenvolveu um experimento no qual ratas prenhes foram submetidas a uma dieta rica em vitamina B12, ácido fólico e soja. Os filhotes dessas ratas, apesar de possuírem o gene para obesidade, não expressaram essa doença na fase adulta. A autora concluiu que a alimentação da mãe, durante a gestação, silenciou o gene da obesidade. Dez anos depois, as geneticistas Eva Jablonka e Gal Raz listaram 100 casos comprovados de traços adquiridos e transmitidos entre gerações de organismos, sustentando, assim, a epigenética, que estuda as mudanças na atividade dos genes que não envolvem alterações na sequência do DNA. Alguns cânceres esporádicos representam exemplos de
alteração epigenética, pois são ocasionados por",A: aneuploidia do cromossomo sexual X.; B: polipoidia dos cromossomos autossômicos.; C: mutação em genes autossômicos com expressão dominante.; D: substituição no gene da cadeia beta da hemoglobina.; E: inativação de genes por meio de modificações nas bases nitrogenadas.,E,3.19792
66,"Um motor só poderá realizar trabalho se receber uma quantidade de energia de outro sistema. No caso, a energia armazenada no combustível é, em parte, liberada durante a combustão para que o aparelho possa funcionar. Quando o motor funciona, parte da energia convertida ou transformada na combustão não pode ser utilizada para a realização de trabalho. Isso significa dizer que há vazamento da energia em outra forma.  Um motor só poderá realizar trabalho se receber uma quantidade de energia de outro sistema. No caso, a energia armazenada no combustível é, em parte, liberada durante a combustão para que o aparelho possa funcionar. Quando o motor funciona, parte da energia convertida ou transformada na combustão não pode ser utilizada para a realização de trabalho. Isso significa dizer que há vazamento da energia em outra forma.",A: liberação de calor dentro do motor ser impossível.; B: realização de trabalho pelo motor ser incontrolável.; C: conversão integral de calor em trabalho ser impossível.; D: transformação de energia térmica em cinética ser impossível.; E: utilização de energia potencial do combustível ser incontrolável.,C,0.65233
67,"O processo de interpretação de imagens capturadas por sensores instalados a bordo de satélites que imageiam determinadas faixas ou bandas do espectro de radiação eletromagnética (REM) baseia-se na interação dessa radiação com os objetos presentes sobre a superfície terrestre. Uma das formas de avaliar essa interação é por meio da quantidade de energia refletida pelos objetos. A relação entre a refletância de um dado objeto e o comprimento de onda da REM é conhecida como curva de comportamento espectral ou assinatura espectral do objeto, como mostrado na figura, para objetos comuns na superfície terrestre. De acordo com as curvas de assinatura espectral apresentadas na figura, para que se obtenha a melhor discriminação dos alvos mostrados, convém selecionar a banda correspondente a que comprimento de onda em micrômetros (µm)?","A: 0,4 a 0,5.; B: 0,5 a 0,6.; C: 0,6 a 0,7.; D: 0,7 a 0,8.; E: 0,8 a 0,9.",E,2.57131
68,"Um instituto de pesquisa norte-americano divulgou recentemente ter criado uma “célula sintética”, uma bactéria chamada de Mycoplasma mycoides. Os pesquisadores montaram uma sequência de nucleotídeos, que formam o único cromossomo dessa bactéria, o qual foi introduzido em outra espécie de bactéria, a Mycoplasma capricolum. Após a introdução, o cromossomo da M. capricolum foi neutralizado e o cromossomo artificial da M. mycoides começou a gerenciar a célula, produzindo suas proteínas. A importância dessa inovação tecnológica para a comunidade científica se deve à","A: possibilidade de sequenciar os genomas de bactérias para serem usados como receptoras de cromossomos artificiais.; B: capacidade de criação, pela ciência, de novas formas de vida, utilizando substâncias como carboidratos e lipídios.; C: possibilidade de produção em massa da bactéria Mycoplasma capricolum para sua distribuição em ambientes naturais.; D: possibilidade de programar geneticamente microrganismos ou seres mais complexos para produzir medicamentos, vacinas e combustíveis.; E: capacidade da bactéria Mycoplasma capricolum de expressar suas proteínas na bactéria sintética e estas serem usadas na indústria.",D,0.51757
69,"Os sintomas mais sérios da Gripe A, causada pelo vírus H1N1, foram apresentados por pessoas mais idosas e por gestantes. O motivo aparente é a menor imunidade desses grupos contra o vírus. Para aumentar a imunidade populacional relativa ao vírus da gripe A, o governo brasileiro distribuiu vacinas para os grupos mais suscetíveis. A vacina contra o H1N1, assim como qualquer outra vacina contra agentes causadores de doenças infectocontagiosas, aumenta a imunidade das pessoas porque",A: possui anticorpos contra o agente causador da doença.; B: possui proteínas que eliminam o agente causador da doença.; C: estimula a produção de glóbulos vermelhos pela medula óssea.; D: possui linfócitos; B: e T que neutralizam o agente causador da doença.; E: estimula a produção de anticorpos contra o agente causador da doença.,E,0.02999
70,"Um curioso estudante, empolgado com a aula de circuito elétrico que assistiu na escola, resolve desmontar sua lanterna. Utilizando-se da lâmpada e da pilha, retiradas do equipamento, e de um fio com as extremidades descascadas, faz as seguintes ligações com a intenção de acender a lâmpada: A importância dessa inovação tecnológica para a comunidade científica se deve à","A: (1), (3), (6); B: (3), (4), (5); C: (1), (3), (5); D: (1), (3), (7); E: (1), (2), (5)",D,1.3984
71,"Os biocombustíveis de primeira geração são derivados da soja, milho e cana-de-açúcar e sua produção ocorre através da fermentação. Biocombustíveis derivados de material celulósico ou biocombustíveis de segunda geração — coloquialmente chamados de “gasolina de capim” — são aqueles produzidos a partir de resíduos de madeira (serragem, por exemplo), talos de milho, palha de trigo ou capim de crescimento rápido e se apresentam como uma alternativa para os problemas enfrentados pelos de primeira geração, já que as matérias-primas são baratas e abundantes. O texto mostra um dos pontos de vista a respeito do uso dos biocombustíveis na atualidade, os quais","A: são matrizes energéticas com menor carga de poluição para o ambiente e podem propiciar a geração de novos empregos, entretanto, para serem oferecidos com baixo custo, a tecnologia da degradação da celulose nos biocombustíveis de segunda geração deve ser extremamente eficiente.; B: oferecem múltiplas dificuldades, pois a produção é de alto custo, sua implantação não gera empregos, e deve-se ter cuidado com o risco ambiental, pois eles oferecerem os mesmos riscos que o uso de combustíveis fósseis.; C: sendo de segunda geração, são produzidos por uma tecnologia que acarreta problemas sociais, sobretudo decorrente do fato de a matéria-prima ser abundante e facilmente encontrada, o que impede a geração de novos empregos.; D: sendo de primeira e segunda geração, são produzidos por tecnologias que devem passar por uma avaliação criteriosa quanto ao uso, pois uma enfrenta o problema da falta de espaço para plantio da matéria-prima e a outra impede a geração de novas fontes de emprego.; E: podem acarretar sérios problemas econômicos e sociais, pois a substituição do uso de petróleo afeta negativamente toda uma cadeia produtiva na medida em que exclui diversas fontes de emprego nas refinarias, postos de gasolina e no transporte de petróleo e gasolina.",A,
72,"A bile é produzida pelo fígado, armazenada na vesícula biliar e tem papel fundamental na digestão de lipídeos. Os sais biliares são esteroides sintetizados no fígado a partir do colesterol, e sua rota de síntese envolve várias etapas. Partindo do ácido cólico representado na figura, ocorre a formação dos ácidos glicocólico e taurocólico; o prefixo glico- significa a presença de um resíduo do aminoácido glicina e o prefixo tauro-, do aminoácido taurina. A combinação entre o ácido cólico e a glicina ou taurina origina a função amida, formada pela reação entre o grupo amina desses aminoácidos e o grupo",A: carboxila do ácido cólico.; B: aldeído do ácido cólico.; C: hidroxila do ácido cólico.; D: cetona do ácido cólico.; E: éster do ácido cólico.,A,1.43777
73,"Em um experimento realizado para determinar a densidade da água de um lago, foram utilizados alguns materiais conforme ilustrado: um dinamômetro D com graduação de 0 N a 50 N e um cubo maciço e homogêneo de 10 cm de aresta e 3 kg de massa. Inicialmente, foi conferida a calibração do dinamômetro, constatando-se a leitura de 30 N quando o cubo era preso ao dinamômetro e suspenso no ar. Ao mergulhar o cubo na água do lago, até que metade do seu volume ficasse submersa, foi registrada a leitura de 24 N no dinamômetro. Considerando que a aceleração da gravidade local é de 10 m/s2 , a densidade da água do lago, em g/cm3 , é","A: 0,6.; B: 1,2.; C: 1,5.; D: 2,4.; E: 4,8.",B,1.73884
74,"Uma equipe de cientistas lançará uma expedição ao Titanic para criar um detalhado mapa 3D que “vai tirar, virtualmente, o Titanic do fundo do mar para o público”. A expedição ao local, a 4 quilômetros de profundidade no Oceano Atlântico, está sendo apresentada como a mais sofisticada expedição científica ao Titanic. Ela utilizará tecnologias de imagem e sonar que nunca tinham sido aplicadas ao navio, para obter o mais completo inventário de seu conteúdo. Esta complementação é necessária em razão das condições do navio, naufragado há um século. No problema apresentado para gerar imagens através de camadas de sedimentos depositados no navio, o sonar é mais adequado, pois a",A: propagação da luz na água ocorre a uma velocidade maior que a do som neste meio.; B: absorção da luz ao longo de uma camada de água é facilitada enquanto a absorção do som não.; C: refração da luz a uma grande profundidade acontece com uma intensidade menor que a do som.; D: atenuação da luz nos materiais analisados é distinta da atenuação de som nestes mesmos materiais.; E: reflexão da luz nas camadas de sedimentos é menos intensa do que a reflexão do som neste material.,D,1.37136
75,"Os refrigerantes têm-se tornado cada vez mais o alvo de políticas públicas de saúde. Os de cola apresentam ácido fosfórico, substância prejudicial à fixação de cálcio, o mineral que é o principal componente da matriz dos dentes. A cárie é um processo dinâmico de desequilíbrio do processo de desmineralização dentária, perda de minerais em razão da acidez. Sabese que o principal componente do esmalte do dente é um sal denominado hidroxiapatita. O refrigerante, pela presença da sacarose, faz decrescer o pH do biofilme (placa bacteriana), provocando a desmineralização do esmalte dentário. Os mecanismos de defesa salivar levam de 20 a 30 minutos para normalizar o nível do pH, remineralizando o dente. A equação química seguinte representa esse processo: Considerando que uma pessoa consuma refrigerantes diariamente, poderá ocorrer um processo de desmineralização dentária, devido ao aumento da concentração de","A: OH- , que reage com os íons Ca2+, deslocando o equilíbrio para a direita.; B: H+, que reage com as hidroxilas OH- , deslocando o equilíbrio para a direita.; C: OH- , que reage com os íons Ca2+, deslocando o equilíbrio para a esquerda.; D: H+, que reage com as hidroxilas OH- , deslocando o equilíbrio para a esquerda.; E: Ca2+, que reage com as hidroxilas OH- , deslocando o equilíbrio para a esquerda.",B,0.81039
76,"Diferente do que o senso comum acredita, as lagartas de borboletas não possuem voracidade generalizada. Um estudo mostrou que as borboletas de asas transparentes da família Ithomiinae, comuns na Floresta Amazônica e na Mata Atlântica, consomem, sobretudo, plantas da família Solanaceae, a mesma do tomate. Contudo, os ancestrais dessas borboletas consumiam espécies vegetais da família Apocinaceae, mas a quantidade dessas plantas parece não ter sido suficiente para garantir o suprimento alimentar dessas borboletas. Dessa forma, as solanáceas tornaram-se uma opção de alimento, pois são abundantes na Mata Atlântica e na Floresta Amazônica. Nesse texto, a ideia do senso comum é confrontada com os conhecimentos científicos, ao se entender que as larvas das borboletas Ithomiinae encontradas atualmente na Mata Atlântica e na Floresta Amazônica, apresentam",A: facilidade em digerir todas as plantas desses locais.; B: interação com as plantas hospedeiras da família Apocinaceae.; C: adaptação para se alimentar de todas as plantas desses locais.; D: voracidade indiscriminada por todas as plantas existentes nesses locais.; E: especificidade pelas plantas da família Solanaceae existentes nesses locais.,E,1.8193
77,"Para medir o tempo de reação de uma pessoa, pode-se realizar a seguinte experiência: I. Mantenha uma régua (com cerca de 30 cm) suspensa verticalmente, segurando-a pela extremidade superior, de modo que o zero da régua esteja situado na extremidade inferior. II. A pessoa deve colocar os dedos de sua mão, em forma de pinça, próximos do zero da régua, sem tocá-la. III. Sem aviso prévio, a pessoa que estiver segurando a régua deve soltá-la. A outra pessoa deve procurar segurá-la o mais rapidamente possível e observar a posição onde conseguiu segurar a régua, isto é, a distância que ela percorre durante a queda. O quadro seguinte mostra a posição em que três pessoas conseguiram segurar a régua e os respectivos tempos de reação. Distância percorrida pela régua durante a queda (metro) Tempo de reação (segundo) A distância percorrida pela régua aumenta mais rapidamente que o tempo de reação porque a","A: energia mecânica da régua aumenta, o que a faz cair mais rápido.; B: resistência do ar aumenta, o que faz a régua cair com menor velocidade.; C: aceleração de queda da régua varia, o que provoca um movimento acelerado.; D: força peso da régua tem valor constante, o que gera um movimento acelerado.; E: velocidade da régua é constante, o que provoca uma passagem linear de tempo.",D,5.86198
78,"Um tipo de vaso sanitário que vem substituindo as válvulas de descarga está esquematizado na figura. Ao acionar a alavanca, toda a água do tanque é escoada e aumenta o nível no vaso, até cobrir o sifão. De acordo com o Teorema de Stevin, quanto maior a profundidade, maior a pressão. Assim, a água desce levando os rejeitos até o sistema de esgoto. A válvula da caixa de descarga se fecha e ocorre o seu enchimento. Em relação às válvulas de descarga, esse tipo de sistema proporciona maior economia de água. A característica de funcionamento que garante essa economia é devida",A: à altura do sifão de água.; B: ao volume do tanque de água.; C: à altura do nível de água no vaso.; D: ao diâmetro do distribuidor de água.; E: à eficiência da válvula de enchimento do tanque.,B,0.37435
79,"Moradores sobreviventes da tragédia que destruiu aproximadamente 60 casas no Morro do Bumba, na Zona Norte de Niterói (RJ), ainda defendem a hipótese de o deslizamento ter sido causado por uma explosão provocada por gás metano, visto que esse local foi um lixão entre os anos 1960 e 1980. O gás mencionado no texto é produzido","A: como subproduto da respiração aeróbia bacteriana.; B: pela degradação anaeróbia de matéria orgânica por bactérias.; C: como produto da fotossíntese de organismos pluricelulares autotróficos.; D: pela transformação química do gás carbônico em condições anaeróbias.; E: pela conversão, por oxidação química, do gás carbônico sob condições aeróbias.",B,2.72363
